0.000;-0.045;-10.622;0.429;0.000;0.000
0.005;0.074;-10.622;0.561;0.702;0.006
0.010;0.380;-10.622;0.501;0.709;0.013
0.015;0.375;-10.622;0.628;0.715;0.019
0.020;-0.090;-10.622;0.753;0.722;0.025
0.025;0.233;-10.622;0.478;0.729;0.031
0.030;0.016;-10.622;0.727;0.736;0.038
0.035;-0.116;-10.622;0.729;0.743;0.044
0.040;0.228;-10.622;0.582;0.749;0.050
0.045;-0.028;-10.622;0.652;0.756;0.057
0.050;0.044;-10.622;0.447;0.763;0.063
0.055;0.021;-10.622;0.229;0.770;0.069
0.060;-0.100;-10.622;0.611;0.777;0.075
0.065;0.077;-10.622;0.762;0.783;0.082
0.070;-0.159;-10.622;0.572;0.790;0.088
0.075;0.031;-10.622;0.520;0.797;0.094
0.080;-0.044;-10.622;0.843;0.804;0.100
0.085;-0.026;-10.622;0.409;0.811;0.107
0.090;-0.260;-10.622;0.615;0.817;0.113
0.095;-0.043;-10.622;0.431;0.824;0.119
0.100;0.230;-10.622;0.640;0.831;0.125
0.105;0.134;-10.622;0.808;0.838;0.132
0.110;0.070;-10.622;0.612;0.844;0.138
0.115;0.456;-10.622;0.828;0.851;0.144
0.120;0.116;-10.622;0.582;0.858;0.150
0.125;0.146;-10.622;0.646;0.864;0.156
0.130;0.322;-10.622;0.693;0.871;0.163
0.135;0.386;-10.622;0.759;0.878;0.169
0.140;0.019;-10.622;0.587;0.885;0.175
0.145;0.208;-10.622;0.438;0.891;0.181
0.150;0.036;-10.622;0.528;0.898;0.187
0.155;0.112;-10.622;0.396;0.905;0.194
0.160;0.130;-10.622;0.650;0.911;0.200
0.165;0.010;-10.622;0.618;0.918;0.206
0.170;0.338;-10.622;0.507;0.925;0.212
0.175;0.272;-10.622;0.765;0.931;0.218
0.180;0.070;-10.622;0.674;0.938;0.224
0.185;0.039;-10.622;0.745;0.945;0.230
0.190;-0.218;-10.622;0.649;0.951;0.236
0.195;-0.084;-10.622;0.715;0.958;0.243
0.200;-0.071;-10.622;0.771;0.964;0.249
0.205;0.028;-10.622;0.435;0.971;0.255
0.210;-0.027;-10.622;0.825;0.978;0.261
0.215;0.094;-10.622;0.830;0.984;0.267
0.220;0.097;-10.622;0.881;0.991;0.273
0.225;0.273;-10.622;1.087;0.997;0.279
0.230;0.057;-10.622;0.800;1.004;0.285
0.235;-0.075;-10.622;0.664;1.010;0.291
0.240;-0.091;-10.622;0.854;1.017;0.297
0.245;0.099;-10.622;0.608;1.023;0.303
0.250;0.148;-10.622;0.686;1.030;0.309
0.255;-0.193;-10.622;0.861;1.036;0.315
0.260;0.026;-10.622;0.934;1.043;0.321
0.265;-0.048;-10.622;0.770;1.049;0.327
0.270;0.233;-10.622;0.864;1.056;0.333
0.275;0.244;-10.622;0.928;1.062;0.339
0.280;0.260;-10.622;1.163;1.068;0.345
0.285;0.278;-10.622;0.998;1.075;0.351
0.290;-0.023;-10.622;1.093;1.081;0.356
0.295;0.120;-10.622;1.305;1.088;0.362
0.300;-0.167;-10.622;1.098;1.094;0.368
0.305;0.500;-10.622;1.064;1.100;0.374
0.310;0.142;-10.622;1.019;1.106;0.380
0.315;0.215;-10.622;0.784;1.113;0.386
0.320;0.087;-10.622;1.149;1.119;0.391
0.325;-0.036;-10.622;0.896;1.125;0.397
0.330;-0.140;-10.622;1.084;1.132;0.403
0.335;0.184;-10.622;1.090;1.138;0.409
0.340;0.062;-10.622;1.006;1.144;0.414
0.345;0.194;-10.622;0.902;1.150;0.420
0.350;0.255;-10.622;1.124;1.156;0.426
0.355;-0.207;-10.622;1.159;1.162;0.431
0.360;0.036;-10.622;1.316;1.169;0.437
0.365;-0.085;-10.622;1.215;1.175;0.443
0.370;0.153;-10.622;1.281;1.181;0.448
0.375;0.382;-10.622;1.317;1.187;0.454
0.380;0.015;-10.622;1.355;1.193;0.460
0.385;-0.372;-10.622;1.077;1.199;0.465
0.390;0.026;-10.622;1.231;1.205;0.471
0.395;0.347;-10.622;1.234;1.211;0.476
0.400;0.011;-10.622;1.214;1.217;0.482
0.405;0.016;-10.622;0.915;1.223;0.487
0.410;0.239;-10.622;1.257;1.229;0.493
0.415;0.291;-10.622;1.171;1.235;0.498
0.420;-0.049;-10.622;1.276;1.241;0.504
0.425;0.100;-10.622;1.295;1.247;0.509
0.430;0.109;-10.622;1.375;1.252;0.514
0.435;0.308;-10.622;1.232;1.258;0.520
0.440;-0.066;-10.622;1.129;1.264;0.525
0.445;0.131;-10.622;1.331;1.270;0.531
0.450;0.075;-10.622;1.475;1.276;0.536
0.455;0.004;-10.622;1.543;1.281;0.541
0.460;0.253;-10.622;1.352;1.287;0.546
0.465;0.396;-10.622;1.266;1.293;0.552
0.470;0.142;-10.622;1.400;1.298;0.557
0.475;0.117;-10.622;1.210;1.304;0.562
0.480;0.229;-10.622;1.525;1.310;0.567
0.485;0.636;-10.622;1.265;1.315;0.572
0.490;0.027;-10.622;1.145;1.321;0.578
0.495;0.387;-10.622;1.629;1.326;0.583
0.500;0.193;-10.622;1.090;1.332;0.588
0.505;0.235;-10.622;1.660;1.337;0.593
0.510;0.333;-10.622;1.143;1.343;0.598
0.515;0.464;-10.622;1.197;1.348;0.603
0.520;0.140;-10.354;1.210;1.354;0.608
0.525;0.172;-10.038;1.063;1.359;0.613
0.530;-0.055;-10.067;1.340;1.364;0.618
0.535;0.466;-9.976;1.156;1.370;0.623
0.540;0.344;-9.898;1.465;1.375;0.628
0.545;0.207;-9.721;1.326;1.380;0.633
0.550;-0.096;-9.532;1.271;1.386;0.637
0.555;0.192;-9.720;1.224;1.391;0.642
0.560;0.044;-9.640;1.422;1.396;0.647
0.565;0.276;-9.308;1.291;1.401;0.652
0.570;0.236;-9.228;1.538;1.406;0.657
